"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"49",25,"BallCreek","regression coefficient",0.0308688973913221,0.00255175387660386,12.0971296151828,4.43179723922795e-10,0.890471337988767,0.884386412321477,299.761749456325,NA,NA,NA,-134.802965351331,273.605930702663,275.494808660996,1617427.9158681,18,19
"50",25,"ShopeFork","regression coefficient",0.0386971788815548,0.003115376910694,12.4213473973954,3.41561805037364e-12,0.860561001927744,0.854983442004853,168.057589921276,NA,NA,NA,-169.614507255446,343.229014510892,345.745207586935,706083.838253698,25,26
"51",26,"BallCreek","regression coefficient",0.0306553166928494,0.00252718090640041,12.1302422850738,4.24063198065021e-10,0.891003407902651,0.88494804167502,296.875093103978,NA,NA,NA,-134.619111808464,273.238223616928,275.127101575261,1586426.77629892,18,19
"52",26,"ShopeFork","regression coefficient",0.0386448681834524,0.00311465227456988,12.4074422364818,3.49941368275516e-12,0.860291974122474,0.854703653087373,168.018499755277,NA,NA,NA,-169.608458956553,343.216917913106,345.733110989149,705755.40650035,25,26
"53",27,"BallCreek","regression coefficient",0.0305559663287017,0.00247628803631224,12.3394233145053,3.21670818010912e-10,0.894280186753447,0.888406863795305,290.89656362574,NA,NA,NA,-134.23258082681,272.465161653619,274.354039611952,1523174.59312676,18,19
"54",27,"ShopeFork","regression coefficient",0.0386773717220802,0.00309590073217939,12.4930916938195,3.01506672592785e-12,0.861937446229824,0.856414944079017,167.006956333152,NA,NA,NA,-169.451454714536,342.902909429073,345.419102505116,697283.086591584,25,26
"55",28,"BallCreek","regression coefficient",0.0304583699947788,0.00242572318168849,12.5564080125488,2.42450632932202e-10,0.897531290944851,0.891838584886232,284.956567052405,NA,NA,NA,-133.840592203429,271.681184406859,273.570062365192,1461604.41191325,18,19
"56",28,"ShopeFork","regression coefficient",0.0387106863098468,0.00307739966376394,12.5790246764699,2.59843223840701e-12,0.863560847153568,0.85810328103971,166.008924615642,NA,NA,NA,-169.29561288339,342.591225766781,345.107418842824,688974.07630105,25,26
"57",29,"BallCreek","regression coefficient",0.0303625178431909,0.00237548567231695,12.7816042828735,1.81544923608194e-10,0.900755038051201,0.895241429054046,279.055024652249,NA,NA,NA,-133.442964212503,270.885928425006,272.774806383339,1401690.72210601,18,19
"58",29,"ShopeFork","regression coefficient",0.0387448159667229,0.00305915642701939,12.6651960731779,2.24012912425026e-12,0.865161648865782,0.859768114820413,165.024801510304,NA,NA,NA,-169.14102273683,342.28204547366,344.798238549702,680829.627837882,25,26
"59",30,"BallCreek","regression coefficient",0.0302643285394394,0.00232510555739503,13.0163245462913,1.34874803418005e-10,0.903961433316111,0.898625957389229,273.13672997451,NA,NA,NA,-133.035671260673,270.071342521346,271.960220479679,1342866.11870103,18,19
"60",30,"ShopeFork","regression coefficient",0.0387797647678031,0.00304117866339065,12.7515575571502,1.93204812619805e-12,0.866739316932207,0.861408889609496,164.054999231405,NA,NA,NA,-168.987777644357,341.975555288714,344.491748364757,672851.069320407,25,26
